Sex,Age,Year,Month,Day,Street Number,Birthday,Name,Surname,City,Street,State,State Voted
Female,52,1968,8,24,5,1968-8-24,Sandra,Eaton,Moreno Valley,Sixth,California,California
Female,76,1944,5,20,61,1944-5-20,Susan,Decker,Charlotte,Cedar,North Carolina,North Carolina
Male,68,1952,11,15,62,1952-11-15,Ronald,Marsh,Waco,Hill,Texas,Texas
Female,18,2002,5,9,66,2002-5-9,Pamela,Herrera,Richmond,Park,Virginia,Virginia
Male,89,1931,1,7,23,1931-1-7,Robert,Middleton,Paradise,Seventh,Nevada,Nevada
Male,28,1992,10,21,20,1992-10-21,Bradley,Hendricks,Long Beach,Oak,California,California
Female,81,1939,8,20,66,1939-8-20,Betty,Durham,Glendale,First,Arizona,Arizona
Male,83,1937,9,19,35,1937-9-19,Jordan,Finley,Garland,Second,Texas,Texas
Male,51,1969,5,26,19,1969-5-26,David,Riggs,Cary,Washington,North Carolina,North Carolina
Female,82,1938,8,16,57,1938-8-16,Brittany,Wilcox,Little Rock,Sixth,Arkansas,Michigan
Male,69,1951,1,27,10,1951-1-27,Randy,Cleveland,Escondido,View,California,California
Male,28,1992,3,8,81,1992-3-8,Alexander,Freeman,Norfolk,Seventh,Virginia,Virginia
Male,51,1969,9,24,85,1969-9-24,James,Mckinney,Buffalo,Sixth,New York,New York
Male,70,1950,11,19,76,1950-11-19,Thomas,Olsen,Durham,Lake,North Carolina,North Carolina
Female,71,1949,5,24,13,1949-5-24,Olivia,Michael,Santa Clarita,Ninth,California,California
Female,77,1943,8,12,79,1943-8-12,Margaret,Savage,Salem,Ninth,Oregon,Connecticut
Male,74,1946,8,14,46,1946-8-14,Juan,Banks,Sunrise Manor,View,Nevada,Nevada
Male,75,1945,7,12,99,1945-7-12,Anthony,Cooley,Tulsa,Maple,Oklahoma,Oklahoma
Male,83,1937,7,15,91,1937-7-15,Nathan,Joyce,Sunrise Manor,Maple,Nevada,Nevada
Female,71,1949,11,19,91,1949-11-19,Christine,Gross,Salem,Sixth,Oregon,Oregon
Female,56,1964,5,8,41,1964-5-8,Judy,Wiggins,Little Rock,Main,Arkansas,Arkansas
Female,40,1980,3,14,98,1980-3-14,Angela,Jefferson,Fremont,Cedar,California,California
Female,82,1938,10,18,4,1938-10-18,Judith,Moody,San Francisco,Main,California,California
Male,64,1956,4,1,17,1956-4-1,Frank,Cruz,Anchorage,Hill,Alaska,Alaska
Male,18,2002,12,14,50,2002-12-14,Patrick,Gentry,Miami,First,Florida,Florida
Male,32,1988,10,5,42,1988-10-5,Jeremy,Bolton,Sunnyvale,Oak,California,California
Female,80,1940,2,15,19,1940-2-15,Samantha,Powell,Oceanside,Seventh,California,California
Female,22,1998,10,23,29,1998-10-23,Michelle,Raymond,Nashville,Fourth,Tennessee,Tennessee
Male,22,1998,7,12,12,1998-7-12,Ralph,Key,Henderson,Hill,Nevada,Nevada
Male,57,1963,9,9,49,1963-9-9,Bryan,Mckee,Omaha,Cedar,Nebraska,Nebraska
Male,43,1977,8,19,67,1977-8-19,Jordan,Stout,Roseville,Seventh,California,California
Male,88,1932,2,23,17,1932-2-23,Robert,Blake,Orlando,Fifth,Florida,Florida
Female,55,1965,7,30,98,1965-7-30,Laura,Moon,Los Angeles,Second,California,California
Male,19,2001,3,10,30,2001-3-10,Kyle,Pugh,Paterson,Third,New Jersey,New Jersey
Female,72,1948,11,22,39,1948-11-22,Rose,Figueroa,New York City,Washington,New York,New York
Female,74,1946,1,11,72,1946-1-11,Linda,Pierce,Midland,Sixth,Texas,Texas
Male,87,1933,9,15,39,1933-9-15,Paul,Mcgowan,Mobile,Second,Alabama,Alabama
Female,55,1965,8,10,98,1965-8-10,Ruth,Flynn,Cary,Third,North Carolina,North Carolina
Male,52,1968,5,29,62,1968-5-29,Willie,Wiggins,Elk Grove,Pine,California,California
Female,75,1945,5,12,10,1945-5-12,Stephanie,Sanchez,Waco,Fifth,Texas,Texas
Female,69,1951,12,23,35,1951-12-23,Shirley,Cross,Bridgeport,Lake,Connecticut,Connecticut
Female,84,1936,1,15,33,1936-1-15,Catherine,Blevins,Oceanside,Cedar,California,California
Female,47,1973,7,31,93,1973-7-31,Kathryn,Glenn,Pittsburgh,Hill,Pennsylvania,Pennsylvania
Female,28,1992,10,11,13,1992-10-11,Julie,Alston,Bridgeport,Cedar,Connecticut,Connecticut
Male,36,1984,6,29,56,1984-6-29,Ralph,Duke,Dallas,Maple,Texas,North Dakota
Female,54,1966,9,24,61,1966-9-24,Maria,Blackwell,Peoria,Hill,Arizona,Arizona
Female,62,1958,12,1,16,1958-12-1,Rachel,Silva,Denver,Elm,Colorado,Colorado
Female,18,2002,11,23,57,2002-11-23,Kimberly,Hodge,San Francisco,Park,California,California
Female,49,1971,7,2,17,1971-7-2,Danielle,Boyd,Grand Prairie,Ninth,Texas,Texas
Male,71,1949,10,18,57,1949-10-18,Stephen,Kirk,San Bernardino,Cedar,California,California
Female,50,1970,10,3,95,1970-10-3,Nancy,Weeks,Durham,Second,North Carolina,Connecticut
Male,88,1932,8,29,16,1932-8-29,Roy,Roy,Shreveport,Lake,Louisiana,Louisiana
Male,24,1996,2,23,29,1996-2-23,Vincent,Gray,Sioux Falls,Pine,South Dakota,South Dakota
Male,88,1932,8,10,92,1932-8-10,Justin,Salas,Pomona,Oak,California,California
Female,89,1931,5,3,69,1931-5-3,Natalie,Hansen,San Antonio,Lake,Texas,Texas
Male,18,2002,9,12,34,2002-9-12,Eric,Perry,Birmingham,Third,Alabama,Alabama
Male,72,1948,3,12,53,1948-3-12,Joseph,Petty,Reno,Oak,Nevada,Nevada
Male,65,1955,2,2,46,1955-2-2,Aaron,Jacobson,Jersey City,Fourth,New Jersey,New Jersey
Male,32,1988,11,17,91,1988-11-17,Gabriel,Rosa,Rancho Cucamonga,Cedar,California,California
Female,52,1968,12,6,42,1968-12-6,Nancy,Mccoy,Omaha,Hill,Nebraska,Nebraska
Male,63,1957,11,1,47,1957-11-1,Roy,Meyers,Akron,Lake,Ohio,Ohio
Male,75,1945,7,11,65,1945-7-11,Anthony,Stevenson,Surprise,Eighth,Arizona,Arizona
Female,50,1970,2,23,59,1970-2-23,Madison,Randall,Glendale,Oak,Arizona,Arizona
Female,73,1947,7,30,73,1947-7-30,Charlotte,Sparks,Killeen,Fourth,Texas,Texas
Male,50,1970,10,19,42,1970-10-19,Bradley,Berry,Joliet,Seventh,Illinois,Illinois
Male,75,1945,8,20,85,1945-8-20,Peter,Abbott,Macon County,Elm,Georgia,Georgia
Male,64,1956,4,11,25,1956-4-11,Ethan,Mejia,Fontana,Maple,California,California
Male,50,1970,11,30,60,1970-11-30,Albert,Henson,Richmond,Elm,Virginia,Virginia
Male,74,1946,4,6,12,1946-4-6,Brandon,Thomas,Anchorage,Sixth,Alaska,Alaska
Male,32,1988,2,21,33,1988-2-21,Ralph,Mejia,Naperville,Ninth,Illinois,Illinois
Female,68,1952,9,1,40,1952-9-1,Diane,Moreno,Bellevue,Washington,Washington,Washington
Male,76,1944,11,13,3,1944-11-13,Larry,Monroe,Alexandria,Hill,Virginia,Virginia
Female,74,1946,8,11,19,1946-8-11,Margaret,Blanchard,Little Rock,Third,Arkansas,Arkansas
Female,45,1975,12,29,40,1975-12-29,Cynthia,Potts,Buffalo,Elm,New York,New York
Male,88,1932,1,22,59,1932-1-22,George,Campbell,Columbus,Fifth,Ohio,Ohio
Male,52,1968,8,8,19,1968-8-8,Ronald,Benjamin,Rochester,Park,New York,New York
Female,27,1993,11,26,17,1993-11-26,Martha,Sosa,Moreno Valley,Washington,California,California
Male,53,1967,5,27,96,1967-5-27,Robert,Daniels,Rancho Cucamonga,Lake,California,California
Female,85,1935,2,14,6,1935-2-14,Kayla,Suarez,Arlington,Sixth,Texas,Texas
Male,24,1996,7,26,76,1996-7-26,Jeffrey,Pate,Orlando,Maple,Florida,Florida
Female,63,1957,10,1,68,1957-10-1,Christine,Howe,Omaha,Main,Nebraska,Nebraska
Female,86,1934,2,10,60,1934-2-10,Susan,Harper,Denver,First,Colorado,Colorado
Female,42,1978,9,28,13,1978-9-28,Samantha,Frederick,Enterprise,View,Nevada,Nevada
Female,25,1995,6,14,61,1995-6-14,Victoria,Vargas,Arlington,Elm,Texas,Texas
Male,75,1945,10,22,72,1945-10-22,Jeffrey,Roberts,Enterprise,Oak,Nevada,Nevada
Female,65,1955,3,6,50,1955-3-6,Janet,Bowers,Newport News,Pine,Virginia,Virginia
Female,43,1977,3,6,66,1977-3-6,Olivia,Blackwell,Laredo,Second,Texas,Texas
Female,57,1963,10,23,12,1963-10-23,Amber,Velazquez,Roseville,Hill,California,California
Male,72,1948,11,2,20,1948-11-2,Benjamin,Boyle,Hialeah,Ninth,Florida,Florida
Male,41,1979,5,13,45,1979-5-13,Anthony,Tillman,Cape Coral,Main,Florida,Florida
Female,49,1971,1,28,3,1971-1-28,Amber,Hayden,Irving,Second,Texas,Texas
Female,76,1944,2,15,82,1944-2-15,Joan,Lambert,Oklahoma City,Third,Oklahoma,Oklahoma
Male,73,1947,3,9,42,1947-3-9,Ryan,Ayala,Sunrise Manor,Pine,Nevada,Nevada
Female,76,1944,8,6,84,1944-8-6,Sarah,Kirby,San Francisco,Hill,California,California
Female,48,1972,4,25,63,1972-4-25,Doris,Frank,Jackson,Cedar,Mississippi,Mississippi
Female,39,1981,4,16,19,1981-4-16,Danielle,Navarro,Boise,Fifth,Idaho,Idaho
Female,54,1966,6,5,40,1966-6-5,Jennifer,Irwin,Las Vegas,Park,Nevada,Nevada
Male,26,1994,7,26,43,1994-7-26,Gabriel,Roman,Springfield,Lake,Missouri,Missouri
Female,58,1962,7,1,65,1962-7-1,Doris,Solomon,Midland,Lake,Texas,Texas
Female,26,1994,8,31,36,1994-8-31,Sophia,Mullins,Denton,Elm,Texas,Texas
Male,83,1937,9,21,10,1937-9-21,Adam,Riddle,Akron,Sixth,Ohio,Ohio
Male,62,1958,8,19,55,1958-8-19,William,Mcneil,Austin,Seventh,Texas,Texas
Female,42,1978,9,7,78,1978-9-7,Carol,Maynard,Enterprise,Ninth,Nevada,Nevada
Male,40,1980,4,14,12,1980-4-14,Ryan,Lawson,Bellevue,Pine,Washington,Washington
Male,49,1971,9,1,24,1971-9-1,Kevin,Jacobs,Rancho Cucamonga,Park,California,California
Male,67,1953,1,1,22,1953-1-1,Sean,Blake,Wichita,Washington,Kansas,Kansas
Male,60,1960,2,5,59,1960-2-5,Arthur,Wilson,Louisville,Cedar,Kentucky,Kentucky
Male,84,1936,3,13,27,1936-3-13,Eric,Robinson,Durham,Pine,North Carolina,North Carolina
Female,55,1965,1,24,65,1965-1-24,Victoria,Humphrey,Salt Lake City,Ninth,Utah,Utah
Female,83,1937,4,24,17,1937-4-24,Ann,Gates,Cape Coral,Third,Florida,Florida
Female,67,1953,4,23,71,1953-4-23,Mary,West,Pittsburgh,Eighth,Pennsylvania,Pennsylvania
Male,34,1986,6,12,64,1986-6-12,Kevin,Blankenship,Houston,Main,Texas,Texas
Male,41,1979,6,21,86,1979-6-21,Jeremy,Greene,Honolulu,Washington,Hawaii,Hawaii
Male,46,1974,11,15,40,1974-11-15,Kyle,Hubbard,Houston,Main,Texas,Texas
Male,26,1994,5,8,84,1994-5-8,David,Clay,Huntsville,Eighth,Alabama,Alabama
Female,57,1963,3,30,81,1963-3-30,Angela,Newman,Indianapolis,Hill,Indiana,Indiana
Female,64,1956,3,21,26,1956-3-21,Donna,Freeman,Richmond,Sixth,Virginia,Virginia
Male,56,1964,11,29,28,1964-11-29,Harold,Jenkins,Oceanside,Fourth,California,California
Male,42,1978,6,29,61,1978-6-29,Raymond,Snow,Rancho Cucamonga,Park,California,California
Female,25,1995,3,28,96,1995-3-28,Theresa,Johnson,Plano,Main,Texas,Texas
Male,38,1982,5,1,39,1982-5-1,Kevin,Dickson,Stockton,Oak,California,California
Male,20,2000,1,29,7,2000-1-29,Jordan,Love,Los Angeles,View,California,California
Female,59,1961,2,26,77,1961-2-26,Katherine,Hawkins,McAllen,Fourth,Texas,Texas
Male,86,1934,4,12,50,1934-4-12,Jerry,Rojas,Murfreesboro,Lake,Tennessee,Tennessee
Male,32,1988,2,25,7,1988-2-25,Roy,White,Boston,Eighth,Massachusetts,Massachusetts
Male,74,1946,2,21,58,1946-2-21,Jeremy,Spencer,Norfolk,Oak,Virginia,Virginia
Female,42,1978,1,29,8,1978-1-29,Kimberly,Mcgee,Thornton,Cedar,Colorado,Colorado
Male,57,1963,1,31,50,1963-1-31,Charles,Howard,Colorado Springs,Oak,Colorado,Colorado
Female,20,2000,5,13,51,2000-5-13,Angela,Ware,Madison,Maple,Wisconsin,Wisconsin
Female,49,1971,10,13,63,1971-10-13,Diane,Holmes,Chandler,Third,Arizona,Arizona
Female,77,1943,7,9,80,1943-7-9,Lisa,Gamble,Santa Ana,Second,California,California
Male,69,1951,7,29,39,1951-7-29,Matthew,Hogan,McAllen,Maple,Texas,Texas
Female,78,1942,2,21,48,1942-2-21,Sandra,Garrison,San Juan,Hill,Puerto Rico,Puerto Rico
Male,68,1952,7,26,5,1952-7-26,Richard,Rice,Pasadena,Sixth,Texas,Texas
Female,60,1960,10,5,23,1960-10-5,Kayla,Oliver,Rancho Cucamonga,Lake,California,California
Male,24,1996,9,15,92,1996-9-15,Benjamin,Leonard,Jacksonville,Park,Florida,Florida
Female,74,1946,10,28,2,1946-10-28,Victoria,Whitaker,Santa Ana,Park,California,California
Male,82,1938,1,6,87,1938-1-6,Austin,Reyes,Minneapolis,Third,Minnesota,Minnesota
Female,24,1996,2,16,34,1996-2-16,Debra,Stevens,Austin,Oak,Texas,Texas
Male,89,1931,2,11,62,1931-2-11,Roger,Bonner,Fayetteville,Maple,North Carolina,North Carolina
Male,79,1941,6,21,48,1941-6-21,Ronald,Ellis,Denver,Lake,Colorado,Colorado
Male,65,1955,6,29,61,1955-6-29,Anthony,Carlson,Knoxville,First,Tennessee,Tennessee
Male,71,1949,10,1,64,1949-10-1,Matthew,Moreno,Philadelphia,Pine,Pennsylvania,Pennsylvania
Male,24,1996,3,22,83,1996-3-22,Jerry,Lynn,Glendale,Eighth,Arizona,Arizona
Male,78,1942,2,4,71,1942-2-4,Christopher,Schultz,Wichita,Third,Kansas,Kansas
Male,40,1980,11,5,11,1980-11-5,Joshua,Rush,Killeen,Fourth,Texas,Maryland
Male,86,1934,12,26,19,1934-12-26,Richard,Mosley,Fort Wayne,Sixth,Indiana,Indiana
Male,66,1954,4,5,80,1954-4-5,Robert,Wilkins,Huntsville,Fifth,Alabama,Alabama
Female,84,1936,3,18,19,1936-3-18,Nicole,Bullock,Sioux Falls,View,South Dakota,South Dakota
Female,49,1971,8,1,90,1971-8-1,Kelly,Rollins,Reno,Fourth,Nevada,Louisiana
Male,88,1932,7,24,95,1932-7-24,Jordan,Vinson,Norfolk,Washington,Virginia,Virginia
Female,18,2002,7,28,48,2002-7-28,Doris,Campbell,Stockton,Eighth,California,California
Male,33,1987,4,15,66,1987-4-15,Randy,Conrad,San Diego,Seventh,California,California
Female,26,1994,7,8,98,1994-7-8,Diane,Grant,Sunnyvale,Eighth,California,California
Female,45,1975,4,8,99,1975-4-8,Emma,Holt,New Orleans,First,Louisiana,Louisiana
Female,24,1996,7,29,45,1996-7-29,Diana,Mays,Henderson,Fourth,Nevada,Nevada
Female,86,1934,10,13,1,1934-10-13,Jean,Sanford,Boise,Sixth,Idaho,Idaho
Male,84,1936,7,8,1,1936-7-8,Paul,Young,Dallas,Elm,Texas,Texas
Female,28,1992,9,30,79,1992-9-30,Alice,Cortez,Peoria,View,Arizona,California
Male,37,1983,6,4,80,1983-6-4,Kyle,Hardin,Springfield,Eighth,Missouri,Missouri
Male,52,1968,8,12,64,1968-8-12,Billy,Higgins,North Las Vegas,View,Nevada,Nevada
Female,18,2002,5,15,19,2002-5-15,Kayla,Atkinson,Lincoln,Washington,Nebraska,Nebraska
Male,40,1980,6,23,48,1980-6-23,John,Riley,Greensboro,Seventh,North Carolina,North Carolina
Male,42,1978,10,16,55,1978-10-16,Mark,Gordon,Memphis,View,Tennessee,Tennessee
Male,36,1984,6,12,45,1984-6-12,James,Roy,Albuquerque,Hill,New Mexico,New Mexico
Male,34,1986,5,19,69,1986-5-19,Noah,Hudson,Augusta,Oak,Georgia,Georgia
Male,64,1956,2,3,77,1956-2-3,Austin,Armstrong,San Bernardino,Fourth,California,California
Male,43,1977,6,5,37,1977-6-5,Stephen,Banks,Mobile,Sixth,Alabama,Alabama
Male,31,1989,3,21,100,1989-3-21,Kyle,Lyons,Surprise,Pine,Arizona,Arizona
Male,43,1977,11,16,12,1977-11-16,Juan,Craft,Sacramento,Washington,California,California
Female,60,1960,3,17,53,1960-3-17,Judith,Johns,Richmond,Hill,Virginia,Virginia
Male,27,1993,7,30,43,1993-7-30,George,Wilder,Garland,Ninth,Texas,Texas
Male,84,1936,1,9,11,1936-1-9,Bobby,Herman,Cary,Maple,North Carolina,North Carolina
Male,71,1949,9,27,49,1949-9-27,Daniel,Gay,Grand Prairie,Park,Texas,Texas
Male,65,1955,2,8,69,1955-2-8,Keith,Kline,Mesa,View,Arizona,Arizona
Female,32,1988,7,30,55,1988-7-30,Joyce,Mcneil,Rochester,Seventh,New York,New York
Male,55,1965,5,12,100,1965-5-12,David,Sampson,Murfreesboro,Maple,Tennessee,Tennessee
Male,70,1950,10,10,90,1950-10-10,Billy,Mckay,Akron,Pine,Ohio,Ohio
Female,90,1930,8,18,87,1930-8-18,Grace,Acosta,San Antonio,Lake,Texas,Texas
Male,47,1973,2,20,73,1973-2-20,Patrick,Robertson,Salem,Sixth,Oregon,Oregon
Female,66,1954,3,19,50,1954-3-19,Martha,Wood,Oceanside,Second,California,California
Male,78,1942,7,11,90,1942-7-11,Timothy,Stein,Roseville,Ninth,California,California
Female,55,1965,11,8,4,1965-11-8,Victoria,Collins,Tulsa,View,Oklahoma,Oklahoma
Male,76,1944,3,17,35,1944-3-17,Logan,Crane,Corona,Maple,California,California
Male,61,1959,9,30,96,1959-9-30,Harold,Hays,Aurora,Lake,Colorado,Colorado
Female,61,1959,2,15,12,1959-2-15,Elizabeth,Travis,Aurora,Eighth,Colorado,Colorado
Female,52,1968,8,2,18,1968-8-2,Dorothy,Nunez,Springfield,Pine,Missouri,Missouri
Male,46,1974,3,31,15,1974-3-31,Scott,Harrell,New York City,Sixth,New York,New York
Female,51,1969,9,7,20,1969-9-7,Marilyn,Talley,Sunnyvale,Sixth,California,California
Male,37,1983,11,1,23,1983-11-1,Larry,Bruce,St. Paul,View,Minnesota,Minnesota
Male,23,1997,1,30,78,1997-1-30,Roy,Ramirez,Philadelphia,Elm,Pennsylvania,Pennsylvania
Male,89,1931,12,12,49,1931-12-12,Stephen,Conner,Sunrise Manor,Maple,Nevada,Nevada
Female,88,1932,1,26,27,1932-1-26,Joan,Ross,Honolulu,Elm,Hawaii,Iowa
Male,81,1939,9,12,85,1939-9-12,Dylan,Graves,Denver,Maple,Colorado,Colorado
Female,33,1987,3,5,91,1987-3-5,Deborah,Guthrie,Winston-Salem,Eighth,North Carolina,North Carolina
Female,23,1997,8,1,4,1997-8-1,Julie,Jones,Plano,Cedar,Texas,Texas
Female,51,1969,1,4,24,1969-1-4,Diana,Haynes,Cape Coral,Eighth,Florida,Florida
Female,28,1992,7,25,27,1992-7-25,Judith,Peterson,Austin,Washington,Texas,Texas
Male,63,1957,11,4,53,1957-11-4,Robert,Jimenez,Lubbock,View,Texas,Texas
Female,22,1998,10,8,68,1998-10-8,Katherine,Lopez,Chula Vista,Washington,California,California
Male,70,1950,3,24,50,1950-3-24,Harold,Hardin,Cape Coral,Pine,Florida,Florida
Female,86,1934,2,1,70,1934-2-1,Samantha,House,Lincoln,Pine,Nebraska,Nebraska
Female,23,1997,2,20,38,1997-2-20,Judy,Decker,Chandler,Cedar,Arizona,Arizona
Male,25,1995,3,19,12,1995-3-19,Ryan,David,Baltimore,Eighth,Maryland,Maryland
Male,84,1936,6,18,85,1936-6-18,Harold,Stanton,Sacramento,Maple,California,Kentucky
Female,72,1948,10,22,59,1948-10-22,Donna,Talley,Plano,Oak,Texas,Texas
Male,83,1937,1,12,98,1937-1-12,Jose,Maddox,Paradise,Washington,Nevada,Nevada
Male,82,1938,12,5,62,1938-12-5,Jacob,Gentry,Jacksonville,Maple,Florida,Florida
Female,88,1932,1,27,79,1932-1-27,Rebecca,Bradley,Tallahassee,Park,Florida,Florida
Female,58,1962,2,26,81,1962-2-26,Jessica,Luna,Irvine,Sixth,California,California
Male,88,1932,4,6,78,1932-4-6,Kyle,Wise,Louisville,Elm,Kentucky,Kentucky
Male,83,1937,2,22,44,1937-2-22,Joseph,Gibson,Waco,Washington,Texas,Texas
Male,27,1993,6,3,1,1993-6-3,Dennis,Hudson,Glendale,Main,Arizona,Arizona
Female,73,1947,6,20,74,1947-6-20,Nicole,Parks,Waco,Hill,Texas,Texas
Male,71,1949,2,6,10,1949-2-6,Bruce,Haynes,Anchorage,View,Alaska,Alaska
Male,33,1987,4,1,36,1987-4-1,Donald,Meadows,Cape Coral,Main,Florida,Florida
Female,39,1981,9,30,34,1981-9-30,Sophia,Hart,Paterson,Pine,New Jersey,New Jersey
Female,18,2002,2,8,53,2002-2-8,Judy,Craft,Des Moines,First,Iowa,Iowa
Female,76,1944,5,31,78,1944-5-31,Angela,Simon,Spokane,Main,Washington,Washington
Female,22,1998,4,29,43,1998-4-29,Virginia,Simon,Glendale,Third,Arizona,Arizona
Female,19,2001,6,2,47,2001-6-2,Danielle,Cooper,Hollywood,View,Florida,Florida
Female,21,1999,12,4,4,1999-12-4,Shirley,Strong,Roseville,Second,California,California
Male,72,1948,4,5,74,1948-4-5,Michael,Lindsay,Lexington,Fifth,Kentucky,Kentucky
Male,87,1933,5,12,77,1933-5-12,Bruce,Harrington,Stockton,Fifth,California,California
Male,72,1948,5,6,39,1948-5-6,Terry,Shepherd,Enterprise,Fourth,Nevada,Nevada
Female,60,1960,5,14,74,1960-5-14,Jessica,Gutierrez,Brownsville,Park,Texas,Texas
Male,33,1987,11,21,67,1987-11-21,Roy,Lang,St. Louis,Main,Missouri,Missouri
Male,53,1967,2,26,49,1967-2-26,Mark,Pace,Thornton,Fourth,Colorado,Colorado
Male,20,2000,1,4,6,2000-1-4,Nicholas,Atkinson,San Juan,Lake,Puerto Rico,Puerto Rico
Female,62,1958,9,29,23,1958-9-29,Alice,Bryant,Greensboro,View,North Carolina,North Carolina
Female,86,1934,7,9,73,1934-7-9,Linda,Hopper,Lexington,Lake,Kentucky,Indiana
Male,57,1963,11,28,89,1963-11-28,Jeremy,Ewing,Virginia Beach,View,Virginia,Virginia
Male,57,1963,12,28,31,1963-12-28,Matthew,Riddle,San Jose,Washington,California,California
Male,53,1967,2,2,61,1967-2-2,Anthony,Salazar,Honolulu,Hill,Hawaii,Hawaii
Male,41,1979,2,6,42,1979-2-6,Ronald,Clemons,Boston,Washington,Massachusetts,Massachusetts
Female,71,1949,7,5,72,1949-7-5,Rebecca,Ray,Des Moines,Third,Iowa,Iowa
Male,77,1943,10,3,83,1943-10-3,Kenneth,Maldonado,San Francisco,Seventh,California,California
Female,18,2002,10,8,25,2002-10-8,Teresa,Johnston,Sunnyvale,Fourth,California,California
Female,78,1942,1,20,29,1942-1-20,Cynthia,Gentry,Richmond,Eighth,Virginia,Virginia
